Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Facebook acquires Daytum,Daytum,Facebook,04/27/2011,
99 Robots acquires Triberr,Triberr,99 Robots,02/16/2016,
Vapor Corp acquires Vaporin,Vaporin,Vapor Corp,12/18/2014,
Glu Mobile acquires Blammo Games,Blammo Games,Glu Mobile,08/03/2011,"$28,000,000"
Endurance International acquires Webzai,Webzai,Endurance International,11/01/2014,
Centrica acquires Direct Energy,Direct Energy,Centrica,07/07/2000,"$912,000,000"
Globaldyne acquires Xylem Group,Xylem Group,Globaldyne,04/05/2013,
peoplefund.it acquires WeDidThis.org.uk,WeDidThis.org.uk,peoplefund.it,03/12/2012,
Branovate LTD acquires ThinkProper,ThinkProper,Branovate LTD,03/01/2012,
Revconu acquires RoomSurge.com,RoomSurge.com,Revconu,05/01/2012,
Vringo acquires Innovate/Protect,Innovate/Protect,Vringo,07/01/2012,
[x+1] acquires UberTags,UberTags,[x+1],02/19/2013,
CapRally acquires Pitchbrite,Pitchbrite,CapRally,01/01/2013,
Buytopia acquires gobabu.com,gobabu.com,Buytopia,07/01/2012,
Appfolio acquires Renter's Friend,Renter's Friend,Appfolio,04/01/2013,
Estoreify acquires My eStore App,My eStore App,Estoreify,09/02/2013,
Mason Street Labs acquires PassionFox,PassionFox,Mason Street Labs,08/01/2011,
Inkling Systems acquires Betterbook,Betterbook,Inkling Systems,10/21/2013,
We Heart It acquires Embly,Embly,We Heart It,04/22/2013,
AddShoppers acquires ShareYourCart,ShareYourCart,AddShoppers,11/15/2013,
Issuu acquires Dittit,Dittit,Issuu,12/01/2012,
WhoKnows acquires akatoo,akatoo,WhoKnows,06/01/2012,
Rollick acquires Revel Touch,Revel Touch,Rollick,12/24/2013,
Massive Media acquires Chirpme,Chirpme,Massive Media,12/01/2013,
Blackwood Holdings Group acquires Group One Project Advisors,Group One Project Advisors,Blackwood Holdings Group,01/01/2013,
Eyegroove acquires Snibbe Studio,Snibbe Studio,Eyegroove,10/01/2013,
BudhLabs acquires Semino CaliRationale,Semino CaliRationale,BudhLabs,05/16/2014,
Parchment acquires Vizualize.Me,Vizualize.Me,Parchment,10/15/2013,
IAC acquires CraftJack,CraftJack,IAC,11/26/2012,
Google acquires Jetpac,Jetpac,Google,08/15/2014,
CricHQ acquires Turning Square,Turning Square,CricHQ,03/01/2013,"$400,000"
Moda Operandi acquires ModeWalk,ModeWalk,Moda Operandi,10/30/2014,
Watan Group acquires Business Horizons LCO,Business Horizons LCO,Watan Group,09/01/2013,"€4,800,000"
Appota acquires Applancer,Applancer,Appota,01/01/2015,
Control acquires Striped,Striped,Control,05/05/2014,
Blueye acquires Convometrics,Convometrics,Blueye,08/01/2014,
Purch acquires Consumr,Consumr,Purch,03/03/2015,
Tamedia acquires Moneypark AG,Moneypark AG,Tamedia,08/01/2014,
QuitePeople acquires Jumpin Srl - Holidays Hunters,Jumpin Srl - Holidays Hunters,QuitePeople,12/14/2014,
ImpactAlpha acquires ImpactSpace,ImpactSpace,ImpactAlpha,04/21/2015,
Metric Collective acquires Addressreport,Addressreport,Metric Collective,01/01/2014,
Social Tools acquires Postcron,Postcron,Social Tools,04/24/2015,
Caixa Capital Risc acquires Minoryx Therapeutics,Minoryx Therapeutics,Caixa Capital Risc,12/31/2014,
Perseus acquires Twin Lakes Ventures LLC,Twin Lakes Ventures LLC,Perseus,02/26/2014,
Enola Labs acquires MeetMeTix,MeetMeTix,Enola Labs,03/01/2015,
Brit + Co acquires Snapguide,Snapguide,Brit + Co,06/09/2015,
BlaBlaCar acquires Superdojazd,Superdojazd,BlaBlaCar,10/23/2012,
Sysco acquires CAKE Corporation,CAKE Corporation,Sysco,10/10/2013,
Wondersoft acquires Leads24,Leads24,Wondersoft,07/01/2015,
KnowledgeOwl acquires HelpGizmo,HelpGizmo,KnowledgeOwl,06/17/2015,
TripVillas acquires A Break Please,A Break Please,TripVillas,10/01/2013,
Reddyset acquires Video Time Machine,Video Time Machine,Reddyset,06/10/2012,
Veeva acquires Selligy,Selligy,Veeva,07/10/2015,
Gone acquires Yardsale,Yardsale,Gone,10/19/2015,
Curacity acquires Want Me Get Me,Want Me Get Me,Curacity,10/20/2015,
Restaurant Brands International acquires Brewster,Brewster,Restaurant Brands International,10/23/2015,
Globaldyne acquires GeoMimetics,GeoMimetics,Globaldyne,12/01/2014,
RecargaPay acquires Clickae,Clickae,RecargaPay,09/01/2013,
Shelfbucks acquires Emmoco,Emmoco,Shelfbucks,01/12/2016,
RectifyNow acquires OnSkies,OnSkies,RectifyNow,01/12/2016,
Kraken Bitcoin Exchange acquires Cavirtex,Cavirtex,Kraken Bitcoin Exchange,01/17/2016,
eFolder acquires Anchor™,Anchor™,eFolder,09/15/2013,
Matchless London acquires European M Symbol Ltd,European M Symbol Ltd,Matchless London,06/01/2012,
AdUnity acquires Ad Serving Factory Srl,Ad Serving Factory Srl,AdUnity,07/01/2015,
Ntegra Ltd. acquires RedArk,RedArk,Ntegra Ltd.,09/01/2014,
Ströer Media acquires Social Media Interactive,Social Media Interactive,Ströer Media,03/14/2016,
Gusto acquires Rentobo,Rentobo,Gusto,05/01/2016,
Barbara Liszewska-Machalska acquires Biznes Spot,Biznes Spot,Barbara Liszewska-Machalska,10/24/2015,
THE FIFTH COLLECTION acquires Robe Raiders,Robe Raiders,THE FIFTH COLLECTION,12/31/2014,
Linas Matkasse acquires Keittiökaveri,Keittiökaveri,Linas Matkasse,08/25/2016,
MACM LLC acquires Wealth Sprout,Wealth Sprout,MACM LLC,01/01/2012,
